Date,Open,High,Low,Close,Volume
2017-04-25,282.17,285.47,282.0,285.41,76977000
2017-04-26,286.04,287.22,285.79,286.78,84108000
2017-04-27,285.8,287.76,285.52,287.34,83543000
2017-04-28,288.51,289.02,286.76,287.21,78761000
2017-05-02,288.6,291.12,288.39,289.65,69806000
2017-05-04,290.53,292.47,290.53,292.47,65038000
2017-05-08,292.95,299.86,292.66,299.86,102035000
2017-05-10,299.81,304.26,295.53,296.19,128100000
2017-05-11,297.25,300.22,296.35,299.75,111189000
2017-05-12,299.78,300.1,297.84,298.25,74390000
2017-05-15,298.54,299.84,297.51,298.87,58674000
2017-05-16,301.25,301.65,298.05,299.67,97285000
2017-05-17,299.02,299.95,297.9,299.34,77839000
2017-05-18,296.34,298.78,295.66,298.47,83316000
2017-05-19,298.26,299.1,297.44,298.08,74781000
2017-05-22,299.76,300.7,298.98,300.63,71066000
2017-05-23,301.44,303.7,300.41,301.36,76648000
2017-05-24,302.32,302.79,301.23,301.71,111991000
2017-05-25,302.83,305.34,302.18,305.22,100091000
2017-05-26,305.41,308.51,305.07,306.96,98095000
2017-05-29,307.98,309.32,305.13,306.52,105979000
2017-05-30,306.89,306.99,303.11,304.59,94122000
2017-05-31,303.79,306.18,303.64,304.67,114684000
2017-06-01,304.74,305.3,302.99,304.03,77246000
2017-06-02,305.34,308.01,305.27,307.83,94028000
2017-06-05,308.52,308.59,306.79,307.33,76116000
2017-06-07,306.94,307.59,305.42,305.68,87994000
2017-06-08,305.7,306.87,304.17,306.25,126075000
2017-06-09,307.51,310.02,307.17,309.38,118710000
2017-06-12,307.74,308.31,305.59,306.24,95851000
2017-06-13,306.25,308.29,306.25,308.02,94388000
2017-06-14,309.53,310.05,307.03,307.95,113446000
2017-06-15,308.02,308.83,305.04,306.69,95414000
2017-06-16,306.97,307.4,305.82,306.79,87835000
2017-06-19,307.14,309.29,306.19,308.61,87803000
2017-06-20,310.55,310.63,308.72,309.31,122387000
2017-06-21,307.61,308.0,306.13,307.52,100934000
2017-06-22,308.6,309.47,307.28,309.47,88484000
2017-06-23,309.36,310.58,308.96,310.26,81460000
2017-06-26,310.53,312.22,310.13,311.89,71899000
2017-06-27,311.72,312.95,311.05,312.12,131745000
2017-06-28,310.71,312.03,310.47,310.84,94923000
2017-06-29,312.86,313.79,312.26,312.56,103106000
2017-06-30,310.61,311.76,310.17,311.76,73223000
2017-07-03,312.5,312.93,310.85,312.39,71751000
2017-07-04,312.42,312.82,309.78,310.46,89184000
2017-07-05,309.87,312.1,309.64,311.77,68312000
2017-07-06,312.17,312.5,310.76,311.88,73586000
2017-07-07,310.17,311.45,309.62,310.66,87671000
2017-07-10,311.65,312.41,310.72,311.46,78671000
2017-07-11,312.04,313.7,311.5,313.59,85934000
2017-07-12,313.5,314.3,313.21,313.58,89115000
2017-07-13,315.46,318.4,315.03,316.35,94915000
2017-07-14,317.7,318.29,316.81,317.35,103194000
2017-07-17,319.22,319.45,317.86,318.52,74535000
2017-07-18,318.38,318.66,317.59,318.65,80887000
2017-07-19,319.15,319.15,317.52,318.91,77075000
2017-07-20,319.68,320.99,318.67,320.61,81103000
2017-07-21,320.17,322.01,320.0,321.79,81102000
2017-07-24,321.74,322.01,320.82,322.01,71711000
2017-07-25,321.7,322.16,319.72,320.15,82694000
2017-07-26,320.86,320.9,318.68,319.46,96654000
2017-07-27,320.63,321.46,319.51,320.51,75487000
2017-07-28,319.01,319.18,313.72,314.13,100379000
2017-07-31,312.73,314.81,312.2,314.6,82978000
2017-08-01,313.58,318.58,313.19,317.04,81842000
2017-08-02,318.58,318.86,317.17,317.69,94041000
2017-08-03,316.95,317.02,310.22,312.29,112323000
2017-08-04,312.8,314.14,311.89,313.46,79345000
2017-08-07,314.34,315.75,313.24,313.96,68357000
2017-08-08,314.94,315.66,311.99,313.4,71588000
2017-08-09,311.2,312.34,309.18,309.52,73811000
2017-08-10,308.3,309.78,305.73,308.37,105187000
2017-08-11,303.37,304.96,301.32,302.72,96750000
2017-08-14,304.99,305.84,303.75,304.93,68089000
2017-08-16,308.27,308.66,306.59,307.16,89402000
2017-08-17,307.85,309.58,307.16,309.02,99260000
2017-08-18,305.91,309.08,305.9,308.39,77615000
2017-08-21,309.09,309.09,307.56,308.14,62873000
2017-08-22,308.66,309.93,308.5,309.34,63192000
2017-08-23,311.02,311.52,308.85,309.71,62660000
2017-08-24,310.14,311.73,309.72,310.73,72198000
2017-08-25,311.56,312.16,310.24,311.21,73859000
2017-08-28,310.69,311.79,308.89,309.53,63867000
2017-08-29,307.46,308.64,304.24,308.64,65554000
2017-08-30,309.08,309.65,308.45,309.65,59533000
2017-08-31,309.77,310.33,307.14,308.28,99272000
2017-09-01,308.85,309.43,306.82,307.78,75664000
2017-09-04,302.52,306.38,302.45,304.19,67728000
2017-09-05,305.64,305.66,303.06,304.06,75190000
2017-09-06,303.62,303.85,302.41,303.18,91537000
2017-09-07,304.4,307.56,304.36,306.97,80368000
2017-09-08,307.68,308.1,306.63,307.43,69035000
2017-09-11,309.06,311.26,308.95,309.83,81058000
2017-09-12,311.7,311.78,309.53,310.42,70412000
2017-09-13,311.16,312.24,309.76,310.0,86743000
2017-09-14,310.82,312.52,309.75,312.52,132258000
2017-09-15,311.19,313.69,310.82,313.69,92788000
2017-09-18,314.31,318.93,314.17,318.93,77353000
2017-09-19,319.04,319.45,318.03,318.51,89265000
2017-09-20,319.1,320.4,317.19,318.48,93158000
2017-09-21,318.38,319.23,317.4,318.25,92117000
2017-09-22,318.06,319.15,315.47,316.71,91114000
2017-09-25,316.81,317.35,315.3,316.4,78658000
2017-09-26,314.96,315.68,313.68,314.29,85806000
2017-09-27,314.73,314.73,313.32,313.82,66673000
2017-09-28,314.32,315.17,312.88,313.85,70539000
2017-09-29,314.6,316.45,314.6,316.27,63212000
2017-10-10,321.29,324.0,320.57,322.49,99579000
2017-10-11,323.97,326.2,323.43,326.12,86127000
2017-10-12,326.58,328.11,325.96,328.11,98833000
2017-10-13,327.7,328.44,326.65,327.35,100703000
2017-10-16,328.57,329.42,326.99,327.82,85193000
2017-10-17,328.69,329.21,327.84,328.51,76864000
2017-10-18,328.06,329.43,327.13,328.4,75593000
2017-10-19,328.67,329.34,326.04,326.47,90044000
2017-10-20,327.08,328.89,327.02,328.89,99616000
2017-10-23,330.24,330.55,328.5,329.45,75013000
2017-10-24,329.34,330.12,328.91,328.96,70814000
2017-10-25,329.75,330.05,327.84,329.31,83839000
2017-10-26,328.63,329.65,326.99,326.99,99449000
2017-10-27,327.5,329.75,326.62,329.23,90502000
2017-10-30,331.72,331.72,329.62,330.38,90392000
2017-10-31,330.05,334.4,329.66,333.57,97634000
2017-11-01,335.67,338.76,335.6,338.76,93840000
2017-11-02,339.33,339.59,336.83,337.53,86219000
2017-11-03,339.08,339.12,336.16,338.83,75755000
2017-11-06,338.66,339.01,334.53,337.4,77983000
2017-11-07,337.23,338.35,336.0,336.76,114245000
2017-11-08,335.2,338.9,335.02,337.8,114008000
2017-11-09,338.55,338.59,334.99,337.14,108972000
2017-11-10,335.64,336.69,334.63,335.96,86246000
2017-11-13,336.63,337.34,333.73,334.33,91507000
2017-11-14,334.63,334.73,333.13,333.62,94187000
2017-11-15,333.39,333.6,331.36,332.17,112556000
2017-11-16,332.75,334.92,331.84,334.36,82133000
2017-11-17,336.05,338.04,334.18,334.18,92925000
2017-11-20,334.43,335.18,332.26,332.92,76767000
2017-11-21,333.78,334.92,332.7,333.51,123280000
2017-11-22,335.93,337.05,334.62,335.49,114422000
2017-11-23,335.66,335.89,333.99,334.51,71015000
2017-11-24,334.77,335.44,333.86,335.44,73264000
2017-11-27,335.24,335.61,329.47,329.53,91207000
2017-11-28,330.19,331.58,328.51,330.99,93026000
2017-11-29,331.41,332.22,330.04,330.68,67852000
2017-11-30,328.45,329.55,324.82,325.25,121247000
